,Alabama,English,Class,Principal Parts,Derivation,Notes
0,kàano,"to be well, all right, feel better",CHA-,,,
1,káanon naaɬiíkko,"to be unable to talk plainly (as after a stroke), aphasic",,,[/k<á>ano-n /naaɬi<ík>-ka1],
2,káasok,"but, though, however",,,[/káaso-k],
3,kabòska,caboose,,,[/kabòs-ka3],
4,kachàali,"to bite repeatedly, chew",-LI/CHA-,"kachàachi, kachàahili, kachàahachi",[/kacha(ɬ)-li],
5,kachaɬɬi,"to bite once, take a little bite, bite down on",-LI/CHA-,"kachaɬchi, kachaɬhili, kachaɬhachi",[/kachaɬ-li],
6,kachaɬɬichi,to let someone have a bite,-LI/CHA-,"kachaɬchichi, kachaɬhilichi, kachaɬhachichi",[/kachaɬ-li-chi1],
7,kachka,Var. of katska,,,,
8,kafaasilka,"coffee cup, mug",,,[/kafi aa- /is(ko)-ilka],
9,káffihli,"to try hard continually, strive, struggle",-LI,"káffihchi, káffihhili, káffihhachi",[/kafih-li],
10,kafi,"coffee (beans, ground, or the liquid)",,,,
11,kafíhko,Negative form of kafihli,,,,
12,kafihli,"to work hard, try hard, expend effort",-LI,"kafihchi, kafihhili, kafihhachi",[/kafih-li],
13,kafiili,Var. of kafihli,,,,
14,kafistisilka,"coffee cup, mug",,,[/kafi ist- /is(ko)-ilka],
15,káhno,"to be better, best",CHA-,,[/kano],
16,káhnon ommi,to do one's best,-LI,,[/ka<h>no-n /om-li],
17,kakíyyo,Negative form of kayya,,,,
18,kakkahka,to cackle (as a hen),,,[prob. /kakkah-ka1],
19,kakkakkak,the sound a chicken makes when cackling,,,,
20,kalaffi,"to scratch (deeply) once; to mark once, score",-LI/CHA-,"kalafchi, kalafhili, kalafhachi",[/kalaf-li],
21,kalasli,"to cut with scissors, shear",-LI/3,"kalassi, kalashili, kalashachi",[/kalas-li],
22,Kalfisti,"Galveston, Texas",,,,
23,kallapìita,mosquito,,,,
24,kalli,to scratch (deeply) repeatedly; to mark (more than once),-LI/CHA-,"kalchi, kalhili, kalhachi",[/kal(af)-li],
25,kaloklohka,to gobble (as a turkey),,,[prob. /kalokloh-ka1],
26,Kalwisti,Var. of Kalfisti,,,,
27,kaɬàaha,"to rattle, make a rattling noise (as a wagon over a rough road)",Other Verb,,[poss. /kaɬàh-a],
28,kaɬàaha,"magnolia, sweetbay",,,,
29,kaɬàaha hatka,small magnolia that grows along streams,,,[/kaɬàaha2],
30,kaɬàaha pakaali,gardenia,,,[/kaɬàaha2],
31,kaɬàakachi,rattling noise,,,[/kaɬàa-ka1],
32,kaɬàalichi,to make a rattling,-LI,"kaɬàachichi, kaɬàahilichi, kaɬàahachichi",[/kaɬàa-li-chi1],
33,kaɬaama,"to smell of urine, smell bad, smell dirty (esp. as of urine)",CHA-,,,
34,kaɬàaya,Var. of kaɬàaha1,,,,
35,kaɬɬàaha,Var. of kaɬàaha2,,,,
36,kaɬɬi,"to gnaw on, nibble on",-LI/3,"kaɬchi, kaɬhili, kaɬhachi",[/kaɬ-li],
37,kamàaya,"bell, cow bell, church bell; ring, the sound of a bell",,,,
38,kamassa,"to be forceful, strong, solid, powerful",CHA-,,,
39,kamassatíkko,Negative form of kamassa,,,,
40,Kamdi,"Camden, Texas",,,,
41,kamo,"bois d'arc, bodarc, osage-orange",,,,
42,kamosíkko,Negative form of kamoska,,,,
43,kamoska,"to be spoiled, sour (of milk); to smell bad, as of body odor or spoiled or rancid food, stink",Other Verb,,[/kamos-ka1],
44,kamoslichi,to turn (something) sour,-LI/3,"kamossichi, kamoshilichi, kamoshachichi",[/kamos-li-chi1],
45,kanàali,Var. of kanahli,,,,
46,kanaalichi,Var. of kanahlichi,,,,
47,kanahli,to move away (of more than one),-LI,"-, kanahhili, kanahhachi",[/kana<h>t-li],
48,kanahlichi,to move (plural objects),-LI/CHA-,"kanahchichi, kanahhilichi, kanahhachichi",[/kana<h>t-li-chi1],
49,kanatli,to move away (of one),-LI,"kanatchi, -, -",[/kanat-li],
50,kanatlichi,to move (one thing),-LI/CHA-,"kanatchichi, kanathilichi, kanathachichi",[/kanat-li-chi1],
51,kanatlischáffàaka,one minute,,,[/kanat-li ist- /cháffaa-ka1],
52,kanayka,to be parted (of hair),,,[/kanay-ka1],
53,kanayli,to part (hair),-LI/3,"kanaychi, kanayhili, kanayhachi",[/kanay-li],
54,Kaniko,McConico (Battise),,,,
55,kànka,tin can,,,[/kàn-ka3],
56,kànko,Negative form of kano,,,,
57,kànkotilka,"sin, wrongdoing",,,[/kano-ki-o2],
58,kánnahli,"to keep on moving, move further, move a little ways (of more than one)",-LI,"-, kánnahhili, kánnahhachi",[/kana<h>t-li],
59,kánnatli,"to keep on moving, move further (of one)",-LI,"kánnatchi, -, -",[/kanat-li],
60,kano,"to be good, pretty, well, fine; to be good at doing, do well",CHA-,,,
61,kanoochi,"to improve, better, clear up, clear (the throat)",-LI/CHA-,"kanoochiska, kanoochilka, kanoochaska",[/kano-chi1],
62,kanòochit,carefully,,,[/kano-chi1],
63,kanta,greenbrier,,,,
64,kapàalichi,"to make a rattling, banging, hammering, tapping or rumbling noise",Other Verb,,[/kapàa-li-chi1],
65,kapàaya,for there to be the sound of tapping,,,[prob. /kapàa-a],
66,kapachi,stickball racquet,,,,
67,kapachi aatòoka,stickball playing field,,,[/kapachi aa- /tòo-ka1],
68,kapachi tòoka,stickball game,,,[/kapachi /tòo-ka1],
69,kapitani,"interpreter, translator",,,,
70,kapko,"hackberry, sugarberry",,,,
71,kapochi,Var. of kapachi,,,,
72,kapochitòoka,Var. of kapachitòoka,,,,
73,kapòota,coat,,,,
74,kapòota choba,overcoat,,,[/kapòota /choba],
75,kapòota koboksi,"vest, waistcoat",,,[/kapoota /koboksi],
76,kapootastonáami,Var. of kapòotistonáami,,,,
77,kapòotistonáami,"to be wearing a suit, dressed in suit",-LI,"kapòotistonáamitiska, kapòotistonáamitilka, kapòotistonáamitaska",[/kapòota ist- /onáami],
78,kapòotkoboksi,Var. of kapòota koboksi,,,,
79,kapotchoba,Var. of kapòota choba,,,,
80,kasahka,to be very cold,,,[/kasa<h>t-ka1],
81,kasáhka,to be cooler,,,[/kasah-ka1],
82,kasahlichi,to cool (something); to break someone of a fever,-LI/CHA-,"kasahchichi, kasahhilichi, kasahhachichi",[/kasa<h>t-li-chi1],
83,kasasa,"katydid, cricket, locust",,,,
84,kasatíkko,Negative form of kasatka,,,,
85,kasatka,to be cold weather,,,[/kasat-ka1],
86,kasatkachoba,winter,,,[/kasat-ka1],
87,kasátkàssi,to be getting colder,,,[/kasat-ka1],
88,kasatkat aɬɬa,"autumn, fall season",,,[/kasatka-t /aɬɬa],
89,kasatkat áɬɬìina,"autumn, fall season",,,[/kasat-ka1],
90,kàsi,"younger son, any son after the first born son, younger brother",AM-p,,,
91,kaska,Var. of onkaska,,,,
92,kaskachi,Var. of onkaskachi,,,,
93,kaskachipóota,soldier,,,,
94,kaskaha,"sour (as a lemon or orange), tart, tangy",,,,
95,kasohíkko,Negative form of kasohka,,,,
96,kasohka,to move back and forth (a part of the body) (as the hands to massage the scalp),-LI/3,"kasohiska, kasohilka, kasohaska",[/kasoh-ka1],
97,kasohlichi,"to rub all over, rub to soften (as in tanning hide)",-LI/CHA-,"kasohchichi, kasohhilichi, kasohhachichi",[/kasoh-li-chi1],
98,kàsosi,any baby son after the first born son,,,[/kàsi-osi],
99,kássatka,"to be cool, getting colder",,,,
100,kássatkàasi,"to be a cool spell, be getting colder",,,[/kasat-ka1],
101,kasto,flea,,,,
102,kati,cat (domestic),,,,
103,katimaɬatli,ring-tailed cat,,,[/kati /maɬatli],
104,katosi,kitten,,,[/kati-osi],
105,katska,"blue catfish, catfish a little larger than takka",,,,
106,kattaamichi,"to curse, swear",-LI,"kattaamichitiska, kattaamichitilka, kattaamichitaska",[(/kattaami)-chi2],
107,kattaamichitilka,"cursing, swearing",,,[(/kattaami)-chi2],
108,kattaamitíkko,Negative form of kattaamichi,,,,
109,kawakna,"to be crooked, not straight, bent, lopsided, twisted, bowed (of the legs)",,,,
110,kawáknàasi,"to be a little lopsided, twisted, slightly askew",,,[/kawakna-osi],
111,kawaɬka,to be broken in two,,,[/kawaɬ-ka1],
112,kawaɬɬi,to break in two (one object),-LI/3,"kawaɬchi, kawaɬhili, kawaɬhachi",[/kawaɬ-li],
113,kawka,"to be broken in pieces, be broken up (of more than one)",,,[/kaw(aɬ)-ka1],
114,kawkachi,to be broken into pieces,,,[/kaw(aɬ)-ka1],
115,kawkona,"to have a lot of bends, be crooked",,,[prob. reduplicated plural of kawakna],
116,kawwi,"to snap, break (long rigid objects) in several places",-LI/3,"kawchi, kawhili, kawhachi",[/kaw(aɬ)-li],
117,kayapka,"to scoop up (with the hand), cup (in the hand) (one object)",-LI/3,"kayapiska, kayapilka, kayapaska",[/kayap-ka1],
118,kayka,"to scoop up repeatedly (with the hand), cup (in the hand) (plural objects)",-LI/3,"kayiska, kayilka, kayaksa",[/kay(ap)-ka1],
119,kaylichi,to scratch,-LI/CHA-,"kaychichi, kayhilichi, kayhachichi",[/kay-li-chi2],
120,kayoffi,to scrub (one thing),-LI/CHA-,"kayofchi, kayofhili, kayofhachi",[/kayof-li],
121,kayòoli,to scrub (more than one),-LI/CHA-,"kayòochi, kayòohili, kayòohachi",[/kayo(f)-li],
122,kayòolichi,"to rub, scrub (repeatedly)",-LI/CHA-,"kayòochichi, kayòohilichi, kayòohachichi",[/kayo(f)-li-chi2],
123,kayya,"to be satisfied, satiated, full (of animates), to get enough",CHA-,,,
124,kayyatíkko,Negative form of kayya,CHA-,,,
125,kibìikachi,"knocking, knock; sound of footsteps",,,[/kibii-ka1],
126,kibìilichi,"to knock, rap with the knuckles, bump, tap; to make the sound of running hooves",Other Verb,,[/kibii-li-chi2],
127,kifahíkko,Negative form of kifahka,,,,
128,kifahka,"to snort (esp. in derision), heave a sigh of disgust, grunt; to make a rasping noise",-LI,"kifahiska, kifahilka, kifahaska",,
129,kifahkatíkko,Negative form of kifahka,,,,
130,kifaíkko,Var. of kifahíkko,,,,
131,kihcho,large wooden mortar,,,,
132,kihli,"to wipe after using the toilet, wipe after defecation",-LI,"kihchi, kihhili, kihhachi",[/kih-li],
133,kìika,the letter `K',,,[/kii-ka2],
134,kilaaya,"torch, light",,,[/kilay-a],
135,kilayli,"to light, ignite (a fire), turn on (a light)",-LI/3,"kilaychi, kilayhili, kilayhachi",[/kilay-li],
136,Kilim Finka,Clem Fain,,,,
137,Kilinsi,Clenson,,,,
138,Kilismi,Christmas,,,,
139,Kilismi chimillo!,It's Christmas. You lose!,,,[/kilismi chim- /illi-o3],
140,Kilismi istimilommachi,"Christmas decorations, ornaments",,,[/kilismi ist-im- /ilommachi],
141,kipìilichi,"to go clippety-clop, make the sound of galloping hooves, hoofbeats, make the sound of running footsteps, thump",-LI,"kipìichichi, kipìihilichi, kipìihachichi",[/kipii-li-chi2],
142,kistapi,pestle; pole for grinding corn; stick used to beat corn in making sofkey,,,,
143,kitaaya,"to ignite, start (of a fire)",Other Verb,,[/kitay-a],
144,kitáaya,to be still burning (of a fire),,,[/kitay-a],
145,kitayli,"to light, turn on (a light of any kind), start (a fire)",-LI/3,"kitaychi, kitayhili, kitayhachi",[/kitay-li],
146,kitini,"horned owl, nighthawk",,,,
147,kitini saksa,owl species,,,[/kitini /(saksa)],
148,kloofa,clover,,,,
149,kobayli,to be short (in length),,,[/kobay-li],
150,kobaylichi,to shorten (something),-LI/3,"kobaychichi, kobayhilichi, kobayhachichi",[/kobay-li-chi1],
151,kobitta,Var. of kobitto,,,,
152,kobitto,burden basket,,,,
153,koboksi,"to be short (in length, time, distance)",,,,
154,koboksichi,to shorten something,-LI/3,"koboksichitiska, koboksichitilka, koboksichitaska",[/koboksi-chi1],
155,kobóksòschi,Var. of kobóksòssi,,,,
156,kobóksòssi,to be very short,,,[/koboksi-osi-hchi],
157,kobòolichi,"to make a racket; to make a banging, rapping, knocking noise, stomping, sound of loud footsteps",,,[/kobòo-li-chi2],
158,kobóoⁿksòssi,to be extremely short,,,[/koboksi-osi-hchi],
159,kochi,gourd,,,,
160,kochiba,"gourd or turtleshell rattle; type of black insect about three inches long, thin at the middle, makes a clicking noise if squeezed, plays dead when touched",,,[poss.  /kochi],
161,kochibitka,gourd dance,,,[/kochi /bit-ka1],
162,kochibitka talilwa,gourd dance song,,,[/kochi /bit-ka1],
163,kòchka,athletic coach,,,[/koch-ka3],
164,kochochohki,purple martin,,,,
165,kochochohkihpo,"chimney swift, barn swallow",,,[/kochochohki (ihpo)],
166,kofka,Var. of ilaanikofka,,,,
167,kòkka,any sweet soft drink,,,[/kok-ka3],
168,kokkimiisa,soft drink can,,,[/kokka im- /iisa],
169,kokòoma,cucumber; pickle,,,,
170,kokòomakaskaha,pickle,,,[/kokooma /kaskaha],
171,kolbi,basket,,,,
172,kolbipiɬɬasi,canoe basket,,,[/kolbi /piɬɬa-osi],
173,kolbishayòoki,round deep basket,,,[/kolbi ist- /hayooki],
174,kolbishayòoki alotkascháffàaka,one bushel,,,[/kolbi ist- /hayooki /alot-ka1],
175,kolbishayòoki lapihchi aɬka,"spoon basket, elbow basket (basket with two necks)",,,[/kolbi ist- /hayooki /lapihchi /aɬi-ka1],
176,kolbishayòoki taɬa,to weave a basket,-LI/3,,,
177,kolbittiɬchoba,sifting basket with large holes (used in making sofkey),,,[/kolbi /ittiɬi /choba],
178,kolbittiɬsáwwa,sifting basket with small holes,,,[/kolbi /ittiɬi /sáwwa],
179,kolboshayòoki,Var. of kolbishayòoki,,,,
180,kolboshayòoki taɬat pathàachi,the flat bottom of a four-cornered basket,,,[/kolbi-osi /hayooki /taɬa-t /patha-chi1],
181,kolbosi,shallow basket,,,[/kolbi-osi],
182,kolkobi,"potholes, series of dips or valleys",,,[poss. reduplicated form of kolokbi],
183,kolkohíkko,Negative form of kolkohka,,,,
184,kolkohka,to thunder,Other Verb,,,
185,kolkohka batatli,for lightning to strike,3/CHA-,,[/kolkohka /batat-li],
186,kolkohkachinto,"harlequin snake, Mexican milk snake, coral snake, thunder snake",,,[/kolkohka /chinto],
187,kolkohkafoosi,thunderbird,,,[/kolkohka /foosi],
188,kolkohka inchinto,Var. of kolkohkachinto,,,,
189,kolli,"to cut repeatedly, cut up (plural objects)",-LI/CHA-,"kolchi, kolhili, kolhachi",[/kol(of)-li],
190,kollichi,"to have (somebody) cut, let (somebody) cut",-LI/CHA-,"kolchichi, kolhilichi, kolhachichi",[/kol(of)-li-chi2],
191,koloffi,to cut once,-LI/CHA-,"kolofchi, kolofhili, kolofhachi",[/kolof-li],
192,kolofka,cut,,,[/kolof-ka1],
193,kolofkaschobahchi,cliff,,,[/kolof-ka1],
194,kolokbi,"deep hole; ditch; gulley, ravine, canyon",,,,
195,kolokbischoba,"canyon, ravine",,,[/kolokbi ist- /choba],
196,koɬa,"beyond, past (in time or space), over there",,,,
197,koɬaaka,"previous, former, earlier, before",,,[/koɬa-ka2],
198,koɬaama,"later, after, following",,,[/koɬa-ma],
199,kombo,okra,,,,
200,kómboksi,to be a little short,,,,
201,kómboksìichi,to shorten a little,-LI/3,"kómboksìichitiska, kómboksìichitilka, kómboksìichitaska",[/koboksi-chi1],
202,komko,Var. of koⁿhko,,,,
203,komohlichi,"to ache, throb, hurt all over (as with the flu)",CHA-,,[prob. /komoh-li-chi2],
204,komoolichi,Var. of komohlichi,,,,
205,koⁿhko,"congo snake, congo eel, amphiuma",,,,
206,kono,skunk,,,,
207,kóoɬàasi,"a little bit past, a little farther down, a little ways away",,,[/koɬa-osi],
208,kóosi,"aunt, mother's sister",AM-p,,,
209,kóossòoba,"greataunt, greatgrandmother, oldest sister of one's mother",,,[/kóosi /achòoba],
210,kootíkko,Negative form of kootka1,-LI,,,
211,kootka,to whistle with the lips,Other Verb,,[/koot-ka1],
212,kootka,court of law,,,[/koot-ka3],
213,kootka istíisa,"to have a trial, hold court",-LI,,[/koot-ka3],
214,Kòpa,Cooper,,,,
215,kopi,nest,,,,
216,kopihka,"trash, dead tree limbs, brush, rubbish",,,[/kopih-ka1],
217,kopihkaɬka,"trash bag, trash box",,,[/kopih-ka1],
218,kopihkastitapihka,pitchfork,,,[/kopih-ka1],
219,kopihli,"to clear a field (of trash), gather (trash or rubbish) together to burn",-LI/3,"kopihchi, kopihhili, kopihhachi",[/kopih-li],
220,kopiichi,to build a nest,-LI,"kopiitiska, kopiitilka, kopiitaska",[/kopi-chi1],
221,kopli,to graze on (of animals),Other Verb,,,
222,kopli,"glass container, drinking glass",,,,
223,Kosaati,Coushatta Indian,,,,
224,Kosaatiha,"Coushatta Indians, Coushatta tribe",,,[/kosaati-ha1],
225,Kosaati innaaɬiilka,Koasati language,,,[/kosaati in- /naaɬii<il>-ka1],
226,kosapa,"blackgum tree, black tupelo, prob. also water tupelo",,,,
227,kosapi,Var. of kosapa,,,,
228,kosapo,Var. of kosapa,,,,
229,kosiba,"pokeweed, poke salad",,,,
230,koskalpi,leather thongs,,,,
231,kosokìimo,Negative form of kosooma,,,,
232,kosooma,"to have an odor, to smell; to stink",CHA-,,,
233,kosòoma,"onion, garlic",,,,
234,kosoomachi,to make something stink or smell bad,-LI/CHA-,"kosoomachiska, kosoomachilka, kosoomachaska",[/kosooma-chi1],
235,kosòoma hissi okchákko,green onion,,,[/kosòoma /hissi /okchakko],
236,kosòoma hissi okchákkoya ilpa,green onion,,,[/kosòoma /hissi /okchakko il- /ipa],
237,kosòomahomma,bermuda onion,,,[/kosòoma /homma],
238,kosòomatosooya,onion plant,,,[/kosòoma /tosoy-a],
239,kóssòoma,"to smell a little bad, start to stink",CHA-,,,
240,kostàɬɬa,"on the far side of a certain location (of a place), on the other side of",,,[poss. /(ak)ka ost- /tàɬɬa],
241,kostíini,"to be sane, in one's right mind, be thinking clearly, to know right from wrong",CHA-,,,
242,kostini,"to be wise, intelligent, smart, have a good mind, be clever; to be sober; to be aware, knowing",CHA-,,,
243,kostinifìhnatíkkokáhchi,stupid person,,,[/kostini-fíhna-tíkko-káhmi-hchi],
244,kostinitíkko,Negative form of kostini,,,,
245,kostinitíkkokáhchi,"stupid person, fool, idiot",,,[/kostini-tíkko-káhmi-hchi],
246,kostinka,"mind, thinking, thought",,,[/kostini-ka1],
247,kostinkachoba,wisdom,,,[/kostini-ka1],
248,kostinka istimalpískòssi,"to be retarded, mentally slow",AM-,,[/kostini-ka1],
249,kostìnko,Negative form of kostini,CHA-,,,
250,kostínkochi,"to make someone crazy, confuse someone, mix up someone's thinking (as by hitting on the head, doubletalk, or trickery)",-LI/CHA-,"kostínkochiska, kostínkochilka, kostínkochaska",[/kostínko-chi1],
251,kostìnkokáhchi,Negative form of kostìnko,CHA-,,[/kostìnko-káhmi-hchi],
252,kostínkotíkko,Negative form of kostìnko,,,,
253,kotàali,to break or snap (a long solid object) into many pieces,-LI/3,"kotàachi, kotàahili, kotàahachi",[/kota(f)-li],
254,kotaffi,"to break once (a long solid object), snap apart",-LI/3,"kotafchi, kotafhili, kotafhachi",[/kotaf-li],
255,kotafíkko,Negative form of kotafka,,,,
256,kotafka,to be broken apart,CHA-,,[/kotaf-ka1],
