,Alabama,English,Class
0,kàano,"to be well, all right, feel better",CHA-
1,káanon naaɬiíkko,"to be unable to talk plainly (as after a stroke), aphasic",
2,káasok,"but, though, however",
3,kabòska,caboose,
4,kachàali,"to bite repeatedly, chew",-LI/CHA-
5,kachaɬɬi,"to bite once, take a little bite, bite down on",-LI/CHA-
6,kachaɬɬichi,to let someone have a bite,-LI/CHA-
7,kachka,Var. of katska,
8,kafaasilka,"coffee cup, mug",
9,káffihli,"to try hard continually, strive, struggle",-LI
10,kafi,"coffee (beans, ground, or the liquid)",
11,kafíhko,Negative form of kafihli,
12,kafihli,"to work hard, try hard, expend effort",-LI
13,kafiili,Var. of kafihli,
14,kafistisilka,"coffee cup, mug",
15,káhno,"to be better, best",CHA-
16,káhnon ommi,to do one's best,-LI
17,kakíyyo,Negative form of kayya,
18,kakkahka,to cackle (as a hen),
19,kakkakkak,the sound a chicken makes when cackling,
20,kalaffi,"to scratch (deeply) once; to mark once, score",-LI/CHA-
21,kalasli,"to cut with scissors, shear",
22,Kalfisti,"Galveston, Texas",
23,kallapìita,mosquito,
24,kalli,to scratch (deeply) repeatedly; to mark (more than once),-LI/CHA-
25,kaloklohka,to gobble (as a turkey),
26,Kalwisti,Var. of Kalfisti,
27,kaɬàaha,"to rattle, make a rattling noise (as a wagon over a rough road)",Other Verb
28,kaɬàaha,"magnolia, sweetbay",
29,kaɬàaha hatka,small magnolia that grows along streams,
30,kaɬàaha pakaali,gardenia,
31,kaɬàakachi,rattling noise,
32,kaɬàalichi,to make a rattling,-LI
33,kaɬaama,"to smell of urine, smell bad, smell dirty (esp. as of urine)",CHA-
34,kaɬàaya,Var. of kaɬàaha1,
35,kaɬɬàaha,Var. of kaɬàaha2,
36,kaɬɬi,"to gnaw on, nibble on",-LI/3
37,kamàaya,"bell, cow bell, church bell; ring, the sound of a bell",
38,kamassa,"to be forceful, strong, solid, powerful",
39,kamassatíkko,Negative form of kamassa,
40,Kamdi,"Camden, Texas",
41,kamo,"bois d'arc, bodarc, osage-orange",
42,kamosíkko,Negative form of kamoska,
